SP;NCOL;LT;DI;PLM ;FTLM;FTWM;FTLM/FTWM;STLM;STWM;STLM/STWM;LLM;MLWM;LLM/MLWM;WMPM;LLM/WMPM;DBMWM;LLM/DBMWM ;DLAUM;TLWM;DLAUM/TLWM;LLM/DLAUM;NTM;LFSDM;LSSDM;PLS;FTLS;FTWS;FTLS/FTWS;STLS;STWS;STLS/STWS;LLS;MLWS;LLS/MLWS;WMPS;LLS/WMPS;DLBMWS;LLS/DLBMWS;DLAUS;TLWS;DLAUS/TLWS;LLS/DLAUS;NTS;LFSDS;LSSDS
V.aragonensis;BCF41230;0;0;158;43;89;48;0;0;0;638;420;152;329;194;486;131;148;279;53;431;100;0;0;85;28;81;35;0;0;0;582;299;195;288;202;312;187;159;254;63;366;100;0;0
V.aragonensis;GDA18086;0;0;293;53;86;62;42;84;50;1189;604;197;567;210;646;184;269;408;66;442;233;0;0;149;101;87;116;20;55;36;709;379;187;341;208;448;158;184;209;88;385;150;0;0
V.aragonensis;JACA256379;0;0;204;68;88;77;45;117;38;1085;622;174;582;186;607;179;259;354;73;419;233;0;0;165;38;75;51;12;18;67;845;391;216;379;223;503;168;232;272;85;364;200;0;0
V.aragonensis;JACA349179;53;3433;172;44;45;98;48;67;72;816;520;157;498;164;475;172;146;291;50;559;267;0;0;122;19;33;58;10;23;43;752;314;239;289;260;333;226;254;256;99;296;167;0;0
V.aragonensis;JACA473871;16;667;236;85;117;73;74;99;75;1005;564;178;515;195;492;204;234;359;65;429;200;0;0;155;71;98;72;34;87;39;846;346;245;334;253;515;164;237;249;95;357;267;0;0
V.aragonensis;JACA52774;0;0;206;39;101;39;41;84;49;1024;519;197;452;227;664;154;183;314;58;560;200;0;0;156;51;65;78;57;52;110;992;399;249;387;256;433;229;396;343;115;251;167;0;0
V.aragonensis;JACA665787;0;0;132;38;93;41;34;89;38;1273;567;225;525;242;662;192;248;345;72;513;250;0;0;151;45;85;53;50;115;43;946;452;209;409;231;474;200;240;274;88;394;200;0;0
V.austriaca-den;B147196-23;29;7433;138;104;96;108;173;103;168;3927;779;504;673;584;1406;279;447;319;140;879;1000;0;0;0;95;44;216;123;88;140;4011;388;1034;323;1242;1902;211;1566;254;617;256;466;0;0
V.austriaca-den;B147196-138;33;4500;44;72;97;74;86;99;87;3240;1018;318;868;373;1280;253;499;363;137;649;900;0;0;0;37;57;65;45;89;51;3512;541;649;498;705;1478;238;2015;493;409;174;200;0;0
V.austriaca-den;B147196-6;25;4200;0;49;56;88;85;67;127;2637;849;311;726;363;723;365;368;270;136;717;667;0;0;0;57;57;100;0;0;0;2427;339;716;243;999;529;459;2795;304;919;87;33;0;0
V.austriaca-den;BM67715;30;3300;0;60;60;100;111;98;113;3261;778;419;584;558;1079;302;309;192;161;1055;800;0;0;0;36;43;84;33;42;79;3000;327;917;322;932;1348;223;689;284;243;435;267;0;0
V.austriaca-den;BM68162;28;3633;27;52;133;39;71;102;70;4193;481;871;361;1161;1528;274;663;180;368;632;1233;0;0;0;40;49;82;35;41;85;3640;253;1439;222;1640;2141;170;901;170;530;404;233;0;0
V.austriaca-den;BM68170;33;6100;71;98;103;95;56;94;60;3580;868;412;764;469;1140;314;838;432;194;427;767;0;0;0;10;15;67;0;0;0;2681;316;848;304;882;1368;196;1279;335;382;210;33;0;0
V.austriaca-den;BM68180;37;7733;46;76;138;55;111;137;81;2993;682;439;463;646;717;417;439;268;164;682;700;0;0;0;10;23;43;0;0;0;2333;159;1467;142;1543;1150;203;1952;236;827;120;33;0;0
V.austriaca-den;BM68606;45;6533;0;64;78;82;101;117;86;2813;485;580;413;681;1524;185;354;204;174;795;1000;0;0;0;0;0;0;0;0;0;2705;190;1424;172;1573;1547;175;0;0;0;0;0;0;0
V.austriaca-den;MA112519;38;5000;0;87;79;110;60;84;71;2732;720;379;672;407;1224;223;210;240;88;1301;900;0;0;0;7;12;58;11;14;79;2220;251;884;213;1042;1349;165;319;204;156;696;133;0;0
V.austriaca-den;MA112520;29;8267;0;34;72;47;53;90;59;2705;506;535;413;655;1325;204;266;227;117;1017;1067;0;0;0;16;29;55;22;33;67;1581;189;837;185;855;868;182;452;172;263;350;333;0;0
V.austriaca-den;SALA124613;27;6000;0;49;51;96;74;87;85;2319;782;297;681;341;660;351;291;328;89;797;800;0;0;0;48;24;200;0;0;0;2047;262;781;205;999;1172;175;536;258;208;382;50;0;0
V.austriaca-den;SALA124612;38;6233;20;53;113;47;86;114;75;3724;950;392;907;411;1678;222;591;611;97;630;733;0;0;0;37;56;66;33;61;54;4785;445;1075;416;1150;2889;166;1270;423;300;377;200;0;0
V.austriaca-aus;SALA153002;40;8100;0;247;84;295;305;129;237;2477;991;250;634;390;746;332;399;204;196;620;600;0;0;0;113;64;177;43;62;69;2340;398;589;287;815;682;343;344;209;165;680;367;0;0
V.austriaca-aus;SALA157057;27;4933;0;102;90;114;223;151;148;2464;1068;231;868;284;922;267;293;296;99;840;867;0;0;0;26;47;56;20;24;83;3514;577;609;543;647;1692;208;964;378;255;364;533;0;0
V.austriaca-aus;SALA157051;19;9233;43;57;71;81;72;67;107;2249;594;379;496;453;417;539;237;138;172;948;1167;0;0;0;10;28;37;10;23;41;2038;323;632;282;724;1031;198;260;165;157;785;533;0;0
V.austriaca-aus;SALA155836;25;8300;0;729;138;530;373;147;254;2639;1072;246;815;324;1215;217;319;249;128;827;450;0;0;0;140;66;211;107;54;199;2349;418;562;349;673;1280;184;574;216;266;410;367;0;0
V.austriaca-aus;SALA157058;36;9233;0;467;93;504;464;145;319;2797;1273;220;955;293;925;303;328;174;189;854;633;0;0;0;95;88;107;54;59;91;3307;462;716;378;876;1854;178;292;161;181;1133;300;0;0
V.austriaca-jq;SALA124579;48;6233;0;540;90;600;641;110;583;1074;1202;89;962;112;481;223;216;203;106;497;433;90;207;0;669;74;904;276;76;363;869;654;133;644;135;574;151;286;191;150;304;300;245;0
V.austriaca-jq;SALA124576;43;4600;0;878;64;1372;1023;100;1023;1732;1856;93;1596;109;502;345;409;142;288;423;533;119;410;0;382;64;597;842;73;1153;1516;1271;119;943;161;674;225;604;163;371;251;300;0;0
V.austriaca-jq;SALA124581;42;3167;0;1288;66;1952;1284;92;1396;1724;2020;85;1929;89;909;190;405;123;329;426;533;87;452;68;1350;64;2109;676;81;835;2260;800;283;630;359;1460;155;887;110;806;255;300;0;0
V.austriaca-jq;SALA124583;46;4200;97;1389;231;601;1351;118;1145;2519;2297;110;1421;177;741;340;866;100;866;291;367;566;210;0;1430;88;1625;796;59;1349;2158;1017;212;488;442;1112;194;855;107;799;252;267;99;108
V.austriaca-jq;SALA124582;65;2500;0;1533;160;958;1372;173;793;2505;2298;109;1325;189;1027;244;1165;218;534;469;333;0;0;25;1213;125;970;597;145;412;3267;1569;208;562;581;1092;299;1479;236;627;221;200;0;0
V.austriaca-jq;SALA124584;40;5033;38;1056;68;1553;958;97;988;2117;2415;88;1975;107;495;428;336;169;199;630;433;139;96;0;1103;62;1779;808;75;1077;2372;1629;146;1102;215;1093;217;588;141;417;403;367;0;146
V.austriaca-jq;E32508;15;2367;0;885;39;2269;1076;49;2196;1595;1672;95;1185;135;184;867;339;105;323;471;533;26;276;0;85;42;202;235;50;470;1227;416;295;298;412;476;258;526;82;641;233;500;0;0
V.austriaca-jq;K/Cook/21-VII-1959;57;3500;0;825;92;897;1218;149;817;1943;1944;99;1596;122;824;136;482;278;173;403;567;148;239;64;362;105;345;650;120;542;1745;801;218;765;228;1017;172;599;187;320;291;267;0;68
V.austriaca-jq;K/Rechinger & Scheffer/26-VII-1933;84;4750;0;717;66;1086;930;82;1134;1437;1401;103;1227;117;259;555;365;135;270;394;450;0;246;84;548;123;446;351;119;295;2154;851;253;814;265;1165;185;727;159;457;296;200;0;0
V.austriaca-jq;SALA124610;43;5050;0;890;123;724;1064;157;678;2169;2010;108;1415;153;391;555;271;277;98;800;400;225;579;0;420;82;512;126;110;115;1957;735;266;457;428;407;481;690;324;213;284;250;0;0
V.austriaca-jq;SALA124607;42;3667;0;974;77;1265;1074;114;942;1567;1910;82;1344;117;656;239;493;142;347;318;400;62;114;0;612;66;927;824;93;886;1613;881;183;839;192;410;393;512;153;335;315;450;0;140
V.austriaca-jq;SALA124604;29;4200;0;585;79;741;865;114;759;1569;1173;133;787;199;604;260;504;207;243;311;400;83;160;0;456;88;518;489;107;457;1523;634;240;499;305;614;248;477;181;264;319;400;82;0
V.austriaca-jq;SALA124605;47;4233;0;868;137;634;1080;200;540;2055;1423;144;1167;176;979;210;470;163;288;437;500;0;246;0;403;72;560;680;111;613;2089;672;311;569;367;901;232;432;176;245;484;500;1;91
V.austriaca-jq;SALA124603;35;4433;0;797;88;906;1156;82;1410;1928;1337;144;1121;172;680;284;466;225;207;414;533;110;271;0;734;92;778;674;107;630;2256;1061;213;619;364;704;320;622;176;353;363;400;0;0
V.austriaca-jq;SALA124609;40;4567;0;1005;107;939;1015;120;846;1900;1577;120;975;195;743;256;417;192;217;456;467;0;172;0;770;105;733;308;81;380;2000;850;235;470;426;689;290;633;205;309;316;233;0;0
V.austriaca-jq;SALA124606;43;4533;0;746;77;969;792;112;707;1537;1140;135;1059;145;776;198;205;128;160;750;467;126;89;0;199;61;326;280;114;246;1463;418;350;391;374;720;203;382;118;324;383;350;0;0
V.austriaca-jq;SALA124608;30;6533;0;522;239;218;537;172;312;3107;1485;209;1133;274;750;414;634;289;219;490;533;96;0;0;67;75;89;125;84;149;2425;429;565;277;875;889;273;963;292;330;252;250;0;0
V.austriaca-jq;SALA124564;32;4600;45;635;155;410;583;231;252;1900;1239;153;1211;157;896;212;407;349;117;467;433;0;0;0;319;108;295;272;148;184;2101;925;227;779;270;793;265;568;345;165;370;433;0;0
V.austriaca-jq;RNG/Stamatiadou/13-VI-1971;31;4867;19;537;79;648;691;88;785;1316;958;137;877;150;653;202;246;167;147;535;500;50;119;0;300;61;492;170;44;386;923;439;210;368;251;509;181;265;116;228;248;300;32;0
V.crinita;SALA149288;61;10767;0;61;55;111;74;88;84;1910;1103;173;665;287;788;242;147;156;94;1297;1333;0;0;0;38;53;71;32;45;71;1633;353;462;305;535;550;297;237;132;180;690;1033;0;0
V.crinita;SALA149289;43;17000;55;60;44;136;71;83;86;1924;1032;186;887;217;576;334;141;249;57;1365;1167;0;0;39;41;28;146;81;47;172;1582;690;229;607;261;723;219;202;176;115;783;1350;0;0
V.crinita;SALA149038;38;18700;42;136;86;158;111;72;154;2300;1587;145;1216;189;438;525;78;193;40;2949;1567;0;0;41;86;50;172;120;71;169;1879;1154;163;898;209;350;537;205;289;71;917;1533;0;0
V.crinita;SALA149290;63;12400;31;67;63;106;89;88;101;2543;1357;187;1175;216;940;270;185;409;45;1377;1533;0;0;0;24;39;62;34;38;89;1021;370;276;336;304;788;130;103;139;74;991;1300;0;0
V.crinita;SALA149037;45;16700;102;111;98;113;134;93;144;2099;1250;168;1126;186;680;309;164;279;59;1280;1167;0;0;49;28;32;88;38;56;68;1422;663;214;631;225;634;224;102;149;68;1394;800;0;0
V.crinita;PRC/Fiala2/1892;62;11100;0;67;84;80;71;86;82;1922;927;207;751;256;536;359;144;269;54;1335;1250;0;0;26;41;41;100;55;53;104;1717;574;299;492;349;732;235;184;176;105;933;1200;0;0
V.crinita;PRC/Fiala1/1892;76;9233;47;57;61;93;47;55;85;2196;978;224;834;263;671;327;210;257;82;1048;1367;0;0;30;47;54;87;45;51;88;2213;475;465;427;519;1161;191;233;198;117;950;1133;0;0
V.crinita;SALA149244;75;11900;19;36;47;77;42;62;68;1692;772;219;685;247;638;265;156;166;94;1084;1300;0;0;16;24;38;63;46;66;69;1577;354;445;271;581;682;231;193;168;115;819;1100;0;0
V.crinita;PCR455004;54;12267;10;81;90;90;63;77;81;2191;925;237;696;315;575;381;170;161;106;1292;1500;0;0;32;31;38;82;38;50;75;2373;529;449;462;513;965;246;200;155;129;1186;1367;0;0
V.kindlii;SALA157013;39;8167;46;26;53;50;28;50;56;1302;474;275;455;286;845;154;154;203;76;848;500;0;0;0;42;48;87;10;14;71;1095;222;492;204;536;623;176;279;156;179;393;133;0;0
V.kindlii;SALA157011;23;8300;41;27;57;48;30;70;44;1290;615;210;577;224;481;268;159;283;56;809;600;0;0;60;14;28;49;18;38;47;1271;325;392;284;447;743;171;219;217;101;580;300;0;0
V.kindlii;SALA157012;31;8333;16;18;37;49;30;35;86;1077;394;273;353;305;805;134;183;259;71;587;433;0;0;0;13;19;71;20;39;52;1343;305;441;276;486;927;145;154;149;103;872;333;0;0
V.kindlii;SALA149277;41;8067;0;56;51;110;40;43;92;1747;410;426;361;484;817;214;298;192;155;585;533;0;0;99;7;11;66;8;11;75;1391;192;724;152;917;569;244;112;58;193;1246;67;0;0
V.kindlii;SALA149278;63;9333;72;47;39;121;50;48;104;1223;415;295;383;319;826;148;153;200;77;799;533;0;0;30;19;25;76;19;18;106;1138;267;426;235;484;612;186;127;114;111;896;133;0;0
V.kindlii;SALA149346;39;7267;14;55;63;86;73;78;93;1810;535;339;438;413;632;286;230;197;117;787;500;0;0;118;45;44;103;28;29;98;1647;322;512;276;596;800;206;301;215;140;548;400;0;0
V.kindlii;SALA149279;43;8600;28;54;56;96;64;64;100;1520;615;247;565;269;713;213;192;268;72;792;667;0;0;14;34;37;92;23;26;88;1164;289;403;252;462;591;197;159;164;97;732;167;0;0
V.kindlii;SALA149282;36;7233;67;26;26;100;16;19;84;880;163;540;148;595;479;184;94;62;152;936;133;0;0;15;0;0;0;0;0;0;630;120;525;106;594;293;215;0;0;0;0;0;0;0
V.linearis;DR041947;47;6800;0;9;18;51;0;0;0;1118;285;393;252;445;684;163;69;42;164;1620;50;0;0;27;0;0;0;0;0;0;1376;215;641;188;730;940;146;0;0;0;0;0;0;0
V.linearis;SALA153001;61;13900;0;25;39;64;11;23;46;1466;188;779;170;864;1263;116;99;106;93;1481;233;0;0;21;0;0;0;0;0;0;1518;152;999;132;1150;1082;140;0;0;0;0;0;0;0
V.orbiculata;B147196-192;34;4767;114;397;55;722;295;74;399;1310;607;216;447;293;1276;103;282;144;196;465;600;0;0;153;137;26;527;72;31;232;2214;196;1130;129;1716;1380;160;633;145;437;350;300;0;0
V.orbiculata;BM68701;42;4800;81;277;61;454;188;58;324;1261;512;246;357;353;457;276;137;126;109;920;433;0;0;43;105;64;164;26;18;144;1196;178;672;133;899;772;155;311;107;291;385;133;0;0
V.orbiculata;SALA149336;29;2400;54;77;55;141;88;72;123;1183;241;492;191;619;507;234;242;123;196;490;400;0;0;0;44;29;153;36;31;116;1310;145;906;104;1259;562;233;434;71;616;302;100;0;0
V.orbiculata;SALA149294;27;2367;0;160;60;267;184;75;245;1375;321;428;195;704;514;267;171;116;147;803;567;0;0;0;0;0;0;0;0;0;1016;86;1188;67;1516;255;398;0;0;0;0;0;0;0
V.orbiculata;K/Raap/1895;40;1867;77;386;52;742;188;59;319;1365;428;319;310;440;751;182;204;198;103;669;400;0;0;31;79;52;152;14;8;175;1869;153;1222;101;1850;565;331;339;129;263;551;133;0;0
V.orbiculata;SALA124585;48;3567;58;177;64;277;178;104;171;1009;494;204;352;287;380;266;204;186;110;495;367;0;0;75;76;56;136;111;48;231;1390;256;543;167;832;490;284;693;161;430;201;267;0;0
V.orbiculata;SALA124587;70;5400;129;125;70;179;182;72;253;1211;387;313;290;418;555;218;231;136;170;524;367;0;0;0;33;32;103;38;32;119;1295;147;881;133;974;693;187;415;106;392;312;200;0;0
V.orbiculata;SALA124586;54;1433;0;61;69;88;68;60;113;840;281;299;209;402;448;188;160;110;145;525;333;0;0;0;42;36;117;37;33;112;1362;158;862;121;1126;624;218;571;117;488;239;167;0;0
V.orbiculata;SALA149337;25;3200;0;221;83;266;241;115;210;1825;537;340;435;420;863;212;242;182;133;755;467;0;0;0;33;15;215;33;18;178;2094;197;1065;132;1590;1248;168;276;62;448;758;67;0;0
V.orbiculata;SALA149295;24;2767;60;113;44;256;155;76;203;1623;506;321;363;448;1081;150;153;155;98;1063;533;0;0;13;89;42;210;55;36;155;1939;241;806;169;1149;971;200;791;144;549;245;167;0;0
V.orbiculata;RNG/Halliday/15-IV-1972;15;2433;59;444;69;643;382;69;557;1200;576;208;484;248;667;180;233;161;145;515;333;0;0;47;285;45;633;120;49;245;1398;333;420;235;551;579;241;492;137;359;284;200;0;0
V.orsiniana;CAME/Conti/30-V-1995;47;9600;0;33;50;66;97;58;167;1294;626;207;475;272;367;353;160;180;89;809;733;0;0;0;44;53;83;51;63;81;1383;266;520;195;709;801;173;252;203;124;549;300;0;0
V.orsiniana;SALA110622;109;8233;0;131;98;134;197;101;195;2213;888;249;705;314;477;464;275;256;107;805;867;0;0;0;98;42;233;103;50;206;1682;487;345;422;399;658;256;197;173;114;854;767;0;0
V.orsiniana;MA180274;124;9833;0;129;68;190;130;110;118;2204;1155;191;1069;206;806;273;309;330;94;713;800;0;0;0;52;45;116;63;54;117;780;188;415;183;426;360;217;260;130;200;300;400;0;0
V.orsiniana;MA425880;76;12333;0;123;75;164;101;88;115;1718;948;181;908;189;532;322;190;244;78;904;1100;0;0;0;126;44;286;98;79;124;1455;459;317;414;351;571;255;229;145;158;635;900;0;0
V.orsiniana;SALA93492;110;9600;0;93;65;143;112;87;129;1707;630;271;542;315;812;210;179;224;80;954;633;0;0;0;69;49;141;56;41;137;869;248;350;199;437;438;198;133;134;99;653;333;0;0
V.orsiniana;SALA93483;96;10133;0;66;65;102;61;64;95;1426;539;265;472;302;706;201;144;175;82;990;833;0;0;0;47;42;112;47;44;107;905;172;526;127;713;724;125;105;104;101;862;263;0;0
V.orsiniana;SALA110619;108;11433;0;87;89;98;97;84;115;1573;867;181;761;207;485;324;133;248;54;1183;800;0;0;0;37;76;49;33;73;45;1243;254;489;237;524;855;145;171;190;90;727;300;0;0
V.orsiniana;VAB932949;92;6967;0;112;80;140;160;153;105;2268;1127;201;919;247;490;462;240;294;82;945;700;0;0;0;62;76;82;38;68;56;1735;419;414;364;477;470;369;716;312;229;242;200;0;0
V.orsiniana;VAB933759;92;8300;0;77;106;73;135;131;103;2634;1074;245;870;303;549;480;226;245;92;1165;967;0;0;0;130;61;213;93;78;119;1376;297;463;224;614;985;140;134;118;114;1027;250;0;0
V.orsiniana;VAB944259;79;7667;36;166;96;173;188;129;146;2519;1236;204;1045;241;729;345;330;289;114;763;933;0;0;0;63;52;121;55;69;80;1478;327;452;302;489;885;167;288;175;165;513;233;0;0
V.orsiniana;VAB947095;85;9233;0;161;110;146;136;107;127;1978;849;233;807;245;790;250;307;266;115;644;900;0;0;0;45;51;88;37;50;74;1261;224;563;216;584;730;173;359;176;204;351;300;0;0
V.orsiniana;SALA149298;48;8133;10;24;29;82;39;54;71;972;447;217;350;278;367;265;114;162;71;853;700;0;0;35;12;25;48;22;30;73;818;202;405;190;430;418;196;94;96;97;874;150;0;0
V.orsiniana;SALA149297;49;8100;30;31;39;79;57;72;80;1149;670;172;612;188;620;185;158;237;67;727;767;0;0;101;22;24;94;29;32;92;856;319;269;297;289;418;205;122;150;81;702;600;0;0
V.orsiniana;SALA110626;99;7200;0;78;67;116;94;71;132;1943;790;246;705;276;725;268;125;181;69;1554;1100;0;0;0;61;50;116;57;53;99;1283;327;416;281;485;673;199;238;158;135;643;387;0;0
V.orsiniana;SALA93482;87;9067;0;86;78;110;116;98;118;1758;763;230;697;252;995;177;243;289;84;723;700;0;0;0;72;50;144;76;53;143;1164;381;306;307;379;468;249;243;158;154;479;400;0;0
V.orsiniana;SALA124591;90;10333;0;141;84;168;144;84;171;1558;765;204;715;218;753;206;230;246;93;677;800;0;0;0;64;50;128;62;60;103;1220;279;437;255;478;668;183;174;157;111;701;467;0;0
V.orsiniana;SALA124590;105;9233;0;73;74;99;57;86;66;1616;737;219;662;244;615;262;183;252;73;883;800;0;0;0;66;61;108;60;79;76;1242;445;279;379;328;669;186;142;159;89;875;600;0;0
V.orsiniana;SALA124588;101;11033;17;130;94;138;129;141;91;1638;1092;15;828;198;468;350;197;332;59;831;700;0;0;19;62;63;98;40;54;74;1162;513;227;432;269;627;185;157;237;66;740;300;0;0
V.orsiniana;SALA93486;99;8600;0;75;70;107;63;62;102;2170;566;383;467;465;772;281;520;266;195;417;733;0;0;0;9;19;47;0;0;0;1836;240;765;234;785;958;192;1080;230;470;170;33;0;0
V.orsiniana;SALA72239;83;7933;0;166;67;248;147;113;130;1497;1118;134;1009;148;309;484;154;213;72;972;767;0;0;0;147;75;196;128;71;180;1500;404;371;358;419;737;204;244;226;108;615;833;0;0
V.orsiniana;SALA110621;109;11433;0;110;94;117;59;97;61;1954;820;238;722;271;629;310;156;224;70;1253;767;0;0;0;44;55;80;65;46;141;1663;316;526;257;647;859;194;171;140;122;973;267;0;0
V.orsiniana;SALA110625;87;9800;0;158;97;163;251;148;170;2155;1185;182;915;236;509;423;172;241;71;1253;967;0;0;0;78;68;115;72;60;120;1473;452;326;409;360;948;155;168;164;102;877;600;0;0
V.orsiniana;SALA110623;124;13567;0;131;91;144;191;111;172;2219;1050;211;962;231;535;415;206;214;96;1077;1067;0;0;0;64;52;123;74;65;114;1229;371;331;297;414;785;157;157;120;131;783;433;0;0
V.orsiniana;SALA110624;95;9200;0;110;81;136;145;73;199;1459;693;211;615;237;487;299;177;201;88;824;733;0;0;0;50;56;89;58;56;104;1125;338;333;220;511;633;178;122;100;122;922;350;0;0
V.prostrata;B/Damboldt/30-V-1970;27;18200;0;35;66;53;39;50;78;1462;506;389;451;324;569;256;186;215;87;786;900;0;0;0;0;0;0;0;0;0;1342;243;552;217;618;480;280;0;0;0;0;0;0;0
V.prostrata;BC661136;36;20567;0;54;56;96;56;68;82;1460;452;323;428;341;740;197;250;256;98;584;767;0;0;0;11;15;73;11;21;52;1117;162;690;141;792;629;178;114;118;97;980;167;0;0
V.prostrata;BM68672;32;18567;0;68;73;93;62;61;102;1306;445;293;411;318;467;280;157;188;84;832;700;0;0;0;8;19;42;9;19;47;1460;209;699;199;734;691;211;236;84;281;619;133;0;0
V.prostrata;BM68674;27;20300;0;48;71;68;75;78;96;2065;860;240;775;266;916;225;178;246;72;1160;967;0;0;0;41;47;87;51;63;81;1711;327;523;260;658;726;236;197;137;144;869;500;0;0
V.prostrata;BM68702;34;16667;0;76;68;112;83;58;143;1848;662;279;602;307;739;250;184;200;92;1004;767;0;0;0;28;61;46;29;49;59;1608;296;543;263;611;875;184;329;157;210;489;567;0;0
